Fonction,Individu,Motif,Lieu,Pays,Dates,Annee
Président de la République,Jacques Chirac,Conseil européen,Barcelone,Espagne,15/03/2002,2002
Président de la République,Jacques Chirac,Sommet de l'UE-Amérique latine et Caraïbes,Madrid,Espagne,17/05/2002,2002
Président de la République,Jacques Chirac,Réunion du conseil OTAN-Russie ,Rome,Italie,28/05/2002,2002
Président de la République,Jacques Chirac,Conseil européen,Séville,Espagne,20/06/2002,2002
Président de la République,Jacques Chirac,Sommet du G8,Calgary,Canada,26/06/2002,2002
Président de la République,Jacques Chirac,Sommet Russie/France,Sotchi,Russie,19/07/2002,2002
Président de la République,Jacques Chirac,79èmes consultations franco-allemandes,Schwerin,Allemagne,30/07/2002,2002
Président de la République,Jacques Chirac,nc,N'Djamena,Tchad,01/09/2002,2002
Président de la République,Jacques Chirac,Sommet mondial sur le développement durable,Johannesburg,Afrique du Sud,02/09/2002,2002
Président de la République,Jacques Chirac,Rencontre franco-allemande,Hanovre,Allemagne,07/09/2002,2002
Président de la République,Jacques Chirac,nc,Alexandrie,Égypte,16/10/2002,2002
Président de la République,Jacques Chirac,Sommet de la francophonie,Beyrouth,Liban,18/10/2002,2002
Président de la République,Jacques Chirac,nc,Amman,Jordanie,20/10/2002,2002
Président de la République,Jacques Chirac,nc,Damas,Syrie,20/10/2002,2002
Président de la République,Jacques Chirac,Conseil européen,Bruxelles,Belgique,24/10/2002,2002
Président de la République,Jacques Chirac,nc,Rome,Italie,07/11/2002,2002
Président de la République,Jacques Chirac,Sommet de l'OTAN à Prague,Prague,République tchèque,21/11/2002,2002
Président de la République,Jacques Chirac,"Dîner informel avec Gerhard Schröder, chancelier d'Allemagne",Berlin,Allemagne,04/12/2002,2002
Président de la République,Jacques Chirac,nc,Berlin,Allemagne,23/01/2003,2003
Président de la République,Jacques Chirac,Sommet informel européen,Bruxelles,Belgique,24/02/2003,2003
Président de la République,Jacques Chirac,nc,Alger,Algérie,02/03/2003,2003
Président de la République,Jacques Chirac,Conseil européen,Bruxelles,Belgique,20/03/2003,2003
Président de la République,Jacques Chirac,Visite officielle,Saint-Pétersbourg,Russie,11/04/2003,2003
Président de la République,Jacques Chirac,Sommet sur la défense européenne,Bruxelles,Belgique,29/04/2003,2003
Président de la République,Jacques Chirac,"4ème sommet tripartite, triangle de Weimar",Wroclaw,Pologne,09/05/2003,2003
Président de la République,Jacques Chirac,Célébration du tricentenaire de Saint-Pétersbourg ,Saint-Pétersbourg,Russie,30/05/2003,2003
Président de la République,Jacques Chirac,nc,Kuala Lumpur,Malaisie,21/07/2003,2003
Président de la République,Jacques Chirac,nc,Dresde,Allemagne,04/09/2003,2003
Président de la République,Jacques Chirac,nc,Tolède,Espagne,11/09/2003,2003
Président de la République,Jacques Chirac,81èmes consultations franco-allemandes,Berlin,Allemagne,18/09/2003,2003
Président de la République,Jacques Chirac,nc,New-York,États-Unis,21/09/2003,2003
Président de la République,Jacques Chirac,Conférence intergouvernementale,Rome,Italie,03/10/2003,2003
Président de la République,Jacques Chirac,nc,Rabat,Maroc,09/10/2003,2003
Président de la République,Jacques Chirac,Conseil européen,Bruxelles,Belgique,17/10/2003,2003
Président de la République,Jacques Chirac,Visite officielle et 1er sommet des chefs d'Etat et de gouvernement de la méditerranée occidentale,Tunis,Tunisie,03/12/2003,2003
Président de la République,Jacques Chirac,Conseil européen,Bruxelles,Belgique,11/12/2003,2003
Président de la République,Jacques Chirac,nc,Budapest,Hongrie,23/02/2004,2004
Président de la République,Jacques Chirac,nc,Moscou,Russie,01/04/2004,2004
Président de la République,Jacques Chirac,nc,Tokyo,Japon,26/03/2005,2005
Président de la République,Jacques Chirac,Conseil européen,Bruxelles,Belgique,16/06/2005,2005
Président de la République,Jacques Chirac,Commémoration de l'appel du 18 juin 1940 au Mémorial de la France combattante,Suresnes ,France,18/06/2005,2005
Président de la République,Jacques Chirac,nc,Singapour,Singapour,04/07/2005,2005
Président de la République,Jacques Chirac,Visite officielle et 3ème sommet des chefs d'Etat et de gouvernement de la commission de l'océan Indien,Antananarivo,Madagascar,20/07/2005,2005
Président de la République,Jacques Chirac,Sommet de New-York - 60ème anniversaire de l'ONU,New-York,États-Unis,13/09/2005,2005
Président de la République,Jacques Chirac,nc,Le Caire,Égypte,28/09/2005,2005
Président de la République,Jacques Chirac,Sommet euro-méditerranéen,Barcelone,Espagne,27/11/2005,2005
Président de la République,Jacques Chirac,23ème sommet Afrique-France,Bamako,Mali,02/12/2005,2005
Président de la République,Jacques Chirac,Conseil européen,Bruxelles,Belgique,15/12/2005,2005
Président de la République,Jacques Chirac,nc,Bangkok,Thaïlande,16/02/2006,2006
Président de la République,Jacques Chirac,nc,Bangkok,Thaïlande,17/02/2006,2006
Président de la République,Jacques Chirac,nc,New Delhi,Inde,19/02/2006,2006
Président de la République,Jacques Chirac,nc,Ryad,Arabie saoudite,04/03/2006,2006
Président de la République,Jacques Chirac,nc,Kaboul,Afghanistan,07/04/2006,2006
Président de la République,Jacques Chirac,nc,Le Caire,Égypte,19/04/2006,2006
Président de la République,Jacques Chirac,nc,Le Caire,Égypte,19/04/2006,2006
Président de la République,Jacques Chirac,nc,Brasilia,Brésil,24/05/2006,2006
Président de la République,Jacques Chirac,nc,Santiago,Chili,26/05/2006,2006
Président de la République,Jacques Chirac,Sommet du G8,Saint-Pétersbourg,Russie,15/07/2006,2006
Président de la République,Jacques Chirac,Universités d'été de l'UMP,Marseille,France,01/09/2006,2006
Président de la République,Jacques Chirac,nc,Erevan,Arménie,29/09/2006,2006
Président de la République,Jacques Chirac,nc,Pékin,Chine,24/10/2006,2006
Président de la République,Jacques Chirac,Cinquantième anniversaire du traité de Rome,Berlin,Allemagne,24/03/2007,2007
Président de la République,Jacques Chirac,Visite du site Alcatel Alénia Space,Cannes,France,25/03/2007,2006
Président de la République,Jacques Chirac,nc,Berlin,Allemagne,03/05/2007,2007
